Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Correspondence Address,Publisher,ISSN,ISBN,CODEN,Document Type,Source,EID
"Gregson N., Crang M., Antonopoulos C.N.","7006406005;6603071924;57190741134;","Holding together logistical worlds: Friction, seams and circulation in the emerging ‘global warehouse’",2017,"Environment and Planning D: Society and Space",44,"10.1177/0263775816671721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019598997&doi=10.1177%2f0263775816671721&partnerID=40&md5=b0f69d2e5322f5758524792b1a70b0ee","Durham University, United Kingdom","Gregson, N., Durham University, United Kingdom; Crang, M., Durham University, United Kingdom; Antonopoulos, C.N., Durham University, United Kingdom","This paper examines logistics in the space of action between production and consumption to provide (1) a rethinking of logistical power, not as seamless flow but through seam space and friction, and (2) a re-conceptualisation of cargo mobilities, as the dynamic articulation between things being freight cargo, and being products and goods. The paper uses empirical research on cargo movement in Northern Europe to reveal the frictions resulting from freight cargo’s spatial ordering and from systemic imbalances in trade flows. It shows the multiple lines of friction produced by and productive of cargo mobilities across maritime and terrestrial space. It argues that logistics is an art of accommodating this and creating competitive advantage through making interruptions, discontinuities or seams in the spaces of flow. This is done through different temporal logics of ordering physical cargo sequenced across maritime and terrestrial space. The paper further shows the frictions between the physical spaces and flows of freight and the corresponding code-space and data flows. Bespoke corporate systems translate freight cargo to data and provide visibility to actors such that logistical and regulatory work can be anticipated and planned. Yet they do so through specific lines of sight. Bespoke systems also create seam spaces between networks as they simultaneously make frictions between rival corporate systems. The effect is to generate a contested, fractured space in which at stake is whether logistics works to further the interests of lead actors in the distribution chain linking up the global factory or as a tool of supply chain capitalism that spans continents and connects material supply to consumer, in which logistical actors increasingly perform the role of contractors in a global warehouse. © 2016, © The Author(s) 2016.","Cargo mobilities; distribution; logistics; seam space; storage; supply chain capitalism","capitalism; cargo handling; freight transport; maritime transportation; storage; supply chain management; trade flow; Northern Europe","ESRC: ES/L003066/1","Gregson, N.; Department of Geography, Lower Mountjoy, South Road, United Kingdom; email: nicky.gregson@durham.ac.uk","SAGE Publications Ltd",02637758,,,Article,Scopus,2-s2.0-85019598997
"Jahangoshai Rezaee M., Yousefi S., Hayati J.","57219855401;56684564900;57190347479;","A multi-objective model for closed-loop supply chain optimization and efficient supplier selection in a competitive environment considering quantity discount policy",2017,"Journal of Industrial Engineering International",24,"10.1007/s40092-016-0178-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019225951&doi=10.1007%2fs40092-016-0178-2&partnerID=40&md5=3ca452c066d6ae98a4cb5dac773890a8","Faculty of Industrial Engineering, Urmia University of Technology, Urmia, Iran","Jahangoshai Rezaee, M., Faculty of Industrial Engineering, Urmia University of Technology, Urmia, Iran; Yousefi, S., Faculty of Industrial Engineering, Urmia University of Technology, Urmia, Iran; Hayati, J., Faculty of Industrial Engineering, Urmia University of Technology, Urmia, Iran","Supplier selection and allocation of optimal order quantity are two of the most important processes in closed-loop supply chain (CLSC) and reverse logistic (RL). So that providing high quality raw material is considered as a basic requirement for a manufacturer to produce popular products, as well as achieve more market shares. On the other hand, considering the existence of competitive environment, suppliers have to offer customers incentives like discounts and enhance the quality of their products in a competition with other manufacturers. Therefore, in this study, a model is presented for CLSC optimization, efficient supplier selection, as well as orders allocation considering quantity discount policy. It is modeled using multi-objective programming based on the integrated simultaneous data envelopment analysis–Nash bargaining game. In this study, maximizing profit and efficiency and minimizing defective and functions of delivery delay rate are taken into accounts. Beside supplier selection, the suggested model selects refurbishing sites, as well as determining the number of products and parts in each network’s sector. The suggested model’s solution is carried out using global criteria method. Furthermore, based on related studies, a numerical example is examined to validate it. © 2016, The Author(s).","Closed-loop supply chain; Data envelopment analysis; Nash bargaining game; Quantity discount policy; Supplier selection",,,"Jahangoshai Rezaee, M.; Faculty of Industrial Engineering, Iran; email: m.jahangoshai@uut.ac.ir","SpringerOpen",17355702,,,Article,Scopus,2-s2.0-85019225951
"Lehner M., Biegger P., Medved A.R.","57211433262;57194143176;57194178044;","Power-to-Gas: the significance of chemical storage in an energy system containing high shares of renewable energy [Power-to-Gas: Die Rolle der chemischen Speicherung in einem Energiesystem mit hohen Anteilen an erneuerbarer Energie]",2017,"Elektrotechnik und Informationstechnik",7,"10.1007/s00502-017-0502-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019031453&doi=10.1007%2fs00502-017-0502-6&partnerID=40&md5=d8a2d182a9917640acf129561aec2767","Lehrstuhl für Verfahrenstechnik des industriellen Umweltschutzes, Montanuniversität Leoben, Franz Josef-Straße 18, Leoben, 8700, Austria","Lehner, M., Lehrstuhl für Verfahrenstechnik des industriellen Umweltschutzes, Montanuniversität Leoben, Franz Josef-Straße 18, Leoben, 8700, Austria; Biegger, P., Lehrstuhl für Verfahrenstechnik des industriellen Umweltschutzes, Montanuniversität Leoben, Franz Josef-Straße 18, Leoben, 8700, Austria; Medved, A.R., Lehrstuhl für Verfahrenstechnik des industriellen Umweltschutzes, Montanuniversität Leoben, Franz Josef-Straße 18, Leoben, 8700, Austria","The restructuring of the energy supply towards renewable sources (wind, photovoltaics) will increase the volatility in power generation in future. In order to achieve a balance between supply and demand in the power grid, storage technologies are required, both short-term as well as long-term. The bidirectional link of the existing natural gas infrastructure with the power grid is enabled by the transformation of electric power in water electrolysis in a gaseous chemical energy carrier, hydrogen. Hydrogen can be admixed to the natural gas infrastructure (pipelines, gas reservoirs) in a limited amount, or can react with carbon dioxide and/or carbon monoxide in a catalytic reaction to methane. With the utilization of the natural gas infrastructure a release of the power grid as well as long-term energy storage are achieved. Another advantage of this “Power-to-Gas” technology is the use of CO2 emissions for the production of methane, and thus the reduction of greenhouse gas emissions by CO2-recycling and the substitution of fossil sources. The actual research in the field of ”Power-to-Gas” deals with technological progress both in electrolysis as well as methanation, particularly to decrease investment costs. In terms of methanation, load flexible processes have to be developed which are adjusted to the fluctuating hydrogen production. The economic viability of the Power-to-Gas process chain can be increased by a synergetic link to existing industrial production. For example, an integrated steel plant offers a promising infrastructure, since carbon containing process gases are available in huge amounts, and oxygen as byproduct of the water electrolysis can be used directly. Such concepts facilitate an economically advantageous application of the Power-to-Gas technology in near future. © 2017, The Author(s).","methanation; Power-to-Gas; renewable energy; storage","Carbon dioxide; Carbon monoxide; Catalysis; Economics; Electrolysis; Energy storage; Gas emissions; Gas industry; Gases; Greenhouse gases; Hydrogen; Hydrogen production; Hydrogenation; Investments; Methanation; Methane; Natural gas; Renewable energy resources; Steelmaking; Bi-directional links; Catalytic reactions; Economic viability; Industrial production; Natural gas infrastructure; Renewable energies; Storage technology; Technological progress; Electric power transmission networks",,"Lehner, M.; Lehrstuhl für Verfahrenstechnik des industriellen Umweltschutzes, Franz Josef-Straße 18, Austria; email: markus.lehner@unileoben.ac.at","Springer-Verlag Wien",0932383X,,,Article,Scopus,2-s2.0-85019031453
"Norouzi Nav H., Jahed Motlagh M.R., Makui A.","56983023000;24597288400;23975046700;","Robust controlling of chaotic behavior in supply chain networks",2017,"Journal of the Operational Research Society",2,"10.1057/s41274-016-0112-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018764110&doi=10.1057%2fs41274-016-0112-4&partnerID=40&md5=6d9be2963fa6e5722621730ad6618315","Department of Electrical Engineering, Science and Research Branch, Islamic Azad University, Tehran, Iran; Department of Computer Engineering, Iran University of Science and Technology, Tehran, Iran; Department of Industrial Engineering, Iran University of Science and Technology, Tehran, Iran","Norouzi Nav, H., Department of Electrical Engineering, Science and Research Branch, Islamic Azad University, Tehran, Iran; Jahed Motlagh, M.R., Department of Computer Engineering, Iran University of Science and Technology, Tehran, Iran; Makui, A., Department of Industrial Engineering, Iran University of Science and Technology, Tehran, Iran","The supply chain network is a complex nonlinear system that may have a chaotic behavior. This network involves multiple entities that cooperate to meet customers demand and control network inventory. Although there is a large body of research on measurement of chaos in the supply chain, no proper method has been proposed to control its chaotic behavior. Moreover, the dynamic equations used in the supply chain ignore many factors that affect this chaotic behavior. This paper offers a more comprehensive modeling, analysis, and control of chaotic behavior in the supply chain. A supply chain network with a centralized decision-making structure is modeled. This model has a control center that determines the order of entities and controls their inventories based on customer demand. There is a time-varying delay in the supply chain network, which is equal to the maximum delay between entities. Robust control method with linear matrix inequality technique is used to control the chaotic behavior. Using this technique, decision parameters are determined in such a way as to stabilize network behavior. © 2016 The Operational Research Society. All rights reserved.","Chaotic behavior; Inventory control; Linear matrix inequality (LMI); Robust control; Supply chain network; Time-varying delay","Decision making; Inventory control; Linear matrix inequalities; Robust control; Supply chains; Time delay; Time varying networks; Centralized decision making; Chaotic behaviors; Complex nonlinear system; Comprehensive model; Linear matrix inequality techniques; Robust control methods; Supply chain network; Time varying- delays; Time varying control systems",,"Norouzi Nav, H.; Department of Electrical Engineering, Iran; email: noroozi_aukh@yahoo.com","Palgrave Macmillan Ltd.",01605682,,JORSD,Article,Scopus,2-s2.0-85018764110
"Bilir C., Ekici S.O., Ulengin F.","11440693100;6507329409;6602991586;","An integrated multi-objective supply chain network and competitive facility location model",2017,"Computers and Industrial Engineering",29,"10.1016/j.cie.2017.04.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018650554&doi=10.1016%2fj.cie.2017.04.020&partnerID=40&md5=c218e96521c7ee33538e685967df1c6c","Istanbul S. Zaim University, Industrial Engineering Department, Halkali Cd., Kucukcekmece, Istanbul, 34303, Turkey; Dogus University, Engineering Faculty, Industrial Engineering Department, Zeamet Sok., No: 21 Kadikoy, İstanbul, 34722, Turkey; Sabanci University, Sabanci School of Management, Orta Mah., Universite Cad., No: 27 Orhanli – Tuzla, Istanbul, 34956, Turkey","Bilir, C., Istanbul S. Zaim University, Industrial Engineering Department, Halkali Cd., Kucukcekmece, Istanbul, 34303, Turkey; Ekici, S.O., Dogus University, Engineering Faculty, Industrial Engineering Department, Zeamet Sok., No: 21 Kadikoy, İstanbul, 34722, Turkey; Ulengin, F., Sabanci University, Sabanci School of Management, Orta Mah., Universite Cad., No: 27 Orhanli – Tuzla, Istanbul, 34956, Turkey","In this study, a multi-objective supply chain (SC) network optimization model based on the joint SC network optimization and competitive facility location models is proposed to analyse the results of ignoring the impacts of SC network decisions on customer demand. The objectives utilized in the model are profit maximization, sales maximization and SC risk minimization. The unique unknown variable within the model is the demand. The demand at each customer zone is assumed to be determined by price and the utility function. The utility function is defined as the availability of same-day transportation from the distribution centre (DC) to the customer zone. The application of the proposed model is illustrated through a real-world problem and is solved as single and multi-objective models. The results of single and multi-objective models are subsequently compared. After solving the problem, a sensitivity analysis is also conducted to test the applicability of the model with respect to various parameter coefficients, such as price elasticity, one–day replenishment coverage impact, risk factors (disruption probabilities) and the relative weights of the objectives. © 2017 Elsevier Ltd","Competitive facility location models; Mixed integer linear programming; Multi-objective optimization; SC risk modelling; Supply chain (SC) network optimization","Competition; Facilities; Integer programming; Location; Risk assessment; Sales; Sensitivity analysis; Supply chains; Competitive facility location models; Distribution centres; Mixed integer linear programming; Multiobjective models; Network optimization; Network optimization models; Risk modelling; Supply chain network; Multiobjective optimization",,"Bilir, C.; Istanbul S. Zaim University, Halkali Cd., Kucukcekmece, Turkey; email: canser.bilir@izu.edu.tr","Elsevier Ltd",03608352,,CINDD,Article,Scopus,2-s2.0-85018650554
"Picciotti A.","56152051800;","TOWARDS SUSTAINABILITY: THE INNOVATION PATHS OF SOCIAL ENTERPRISE",2017,"Annals of Public and Cooperative Economics",34,"10.1111/apce.12168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018621990&doi=10.1111%2fapce.12168&partnerID=40&md5=3442abc7b7c1be7296a19dcc5f85d5da","University of Perugia, Italy","Picciotti, A., University of Perugia, Italy","The concepts of sustainable development and social economy are currently undergoing a process of convergence, determined by the extension of the concept of sustainability and the role of social enterprise. In a context in which the primary focus of management literature, especially of North American origin, concerns the concept and practices of social entrepreneurship, this paper explores the experiences of European social enterprises and in particular of Italian social cooperatives. Social cooperatives are experimenting with initiatives capable of responding to the emergence of new needs and changes in society in a sustainable way. Based on an analysis of the experience of various social cooperatives operating in the field of renewable energy sources, tourism, and the use of assets confiscated from the Mafia, this paper aims to highlight how social enterprise manages to create contexts of sustainable development, thereby building interorganizational and intersectoral collaborative networks aimed at the activation of new paths for local development. This represents evidence of the specific nature of the social enterprise, which is able to establish a number of coordination mechanisms. It creates new businesses with public and private, and profit and non-profit partners, with the aim of achieving a stated goal, or enters into contractual arrangements, in order to establish business partnerships and build entire local manufacturing supply chains. In this way social enterprise promotes interaction between resources of a public, market and community nature. © 2017 The Authors Annals of Public and Cooperative Economics © 2017 CIRIEC","innovation; Italy; social cooperative; Social economy; social enterprise; sustainability",,,"Picciotti, A.; University of PerugiaItaly; email: antonio.picciotti@unipg.it","Wiley-Blackwell Publishing Ltd",13704788,,,Article,Scopus,2-s2.0-85018621990
"Mendoza J.M.F., Sharmina M., Gallego-Schmid A., Heyes G., Azapagic A.","55251564900;55216575400;57200089383;57194044859;54967174100;","Integrating Backcasting and Eco-Design for the Circular Economy: The BECE Framework",2017,"Journal of Industrial Ecology",157,"10.1111/jiec.12590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018446506&doi=10.1111%2fjiec.12590&partnerID=40&md5=5d11bba7a195ac9f8cf2d519a3326e00","Sustainable Industrial Systems (SIS) group, University of Manchester, Manchester, United Kingdom; Tyndall Center for Climate Change Research, University of Manchester, Manchester, United Kingdom","Mendoza, J.M.F., Sustainable Industrial Systems (SIS) group, University of Manchester, Manchester, United Kingdom; Sharmina, M., Tyndall Center for Climate Change Research, University of Manchester, Manchester, United Kingdom; Gallego-Schmid, A., Sustainable Industrial Systems (SIS) group, University of Manchester, Manchester, United Kingdom; Heyes, G., Tyndall Center for Climate Change Research, University of Manchester, Manchester, United Kingdom; Azapagic, A., Sustainable Industrial Systems (SIS) group, University of Manchester, Manchester, United Kingdom","The circular economy (CE) is essential for decoupling economic growth from resource consumption and environmental impacts. However, effective implementation requires a systemic change across supply chains, involving both technological and nontechnological innovations. Frameworks are beginning to emerge to foster CE thinking in organizations. However, literature review carried out as part of this research has revealed gaps in their ability to fulfil CE requirements. Furthermore, few frameworks provide support on how CE requirements may be implemented. To address these issues, this article presents a new framework, BECE (backcasting and eco-design for the circular economy), to ensure that businesses can implement CE requirements more readily. BECE empowers organizations to tackle the CE holistically by embedding the concept into corporate decision making and by bringing operational and systems thinking together, thus increasing the likelihood of successful implementation. The potential of the BECE framework was tested through a pilot workshop focusing on the development of a CE business model through redesign of products and supply chains. Using vacuum cleaners as an illustrative case study, several product design and supply-chain alternatives were identified, including the development of scenarios and action plans for their implementation at the business level. Although the case study focuses on a particular product, the BECE framework is generic and applicable across different products and business sectors. © 2017 by Yale University","business model innovation; circular economy; closed-loop supply chain; industrial ecology; product-service systems; resource efficiency","Decision making; Ecodesign; Economics; Efficiency; Environmental impact; Network function virtualization; Supply chains; Business model innovation; Circular economy; Closed-loop supply chain; Industrial ecology; Product-service systems; Resource efficiencies; Product design; action plan; analytical framework; business; decision making; design method; economic growth; efficiency measurement; environmental economics; environmental impact; industrial ecology; industrial regulation; innovation; organizational framework; resource use; scenario analysis; service sector; supply chain management",,"Mendoza, J.M.F.; Sustainable Industrial Systems (SIS) group, United Kingdom; email: joan.mendoza@manchester.ac.uk","Blackwell Publishing",10881980,,JINEF,Article,Scopus,2-s2.0-85018446506
"Jiang W., Sha E.H.-M., Zhuge Q., Wu L.","56373101100;7006659832;55322514200;57022570800;","Efficient assignment algorithms to minimize operation cost for supply chain networks in agile manufacturing",2017,"Computers and Industrial Engineering",12,"10.1016/j.cie.2017.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018366945&doi=10.1016%2fj.cie.2017.04.014&partnerID=40&md5=4147b7fa2cce624ecaff3c8000219dc8","The College of Computer Science, Chongqing University, Chongqing, 400044, China","Jiang, W., The College of Computer Science, Chongqing University, Chongqing, 400044, China; Sha, E.H.-M., The College of Computer Science, Chongqing University, Chongqing, 400044, China; Zhuge, Q., The College of Computer Science, Chongqing University, Chongqing, 400044, China; Wu, L., The College of Computer Science, Chongqing University, Chongqing, 400044, China","While the production process evolves toward modularization and decentralization, the design of supply chain networks, in particular considering the agile manufacturing scenario, becomes challenging due to the following reasons: (1) supply chains that produce a network of components become large-scale; (2) the number of possible assignments is growing exponentially as the increasing choices of plants for components. In this paper, the assignment problem considers the strategic and tactical decisions together, which involves the mapping of components to geographically distributed plants, the selection of logistics services between the mapped plants, and the allocation of inventories in each plant. The goal of this paper is to find the optimal assignment with the minimum total cost under the constraint of production rate. We first mathematically formulate the problem as a mixed integer linear program. Then, by deriving the properties of pipelined production in supply chain networks, we develop dynamic programming algorithms to efficiently obtain the optimal assignments. By the consideration of high degree of pipelining, our techniques can make a good tradeoff between high production rate and low operation cost. Extensive computational experiments show that the proposed algorithms can find high quality solutions, which achieve significant improvement compared with the initiative approaches. © 2017 Elsevier Ltd","Agile manufacturing; Assignment algorithms; Optimization; Supply chain network","Combinatorial optimization; Communication channels (information theory); Costs; Integer programming; Manufacture; Modular construction; Operating costs; Optimization; Supply chains; Agile manufacturing; Assignment algorithms; Computational experiment; Dynamic programming algorithm; High production rate; High-quality solutions; Mixed integer linear program; Supply chain network; Dynamic programming","cstc2014yykfB40007; NSFC: 61472052; 2015AA015304","Zhuge, Q.email: qfzhuge@gmail.com","Elsevier Ltd",03608352,,CINDD,Article,Scopus,2-s2.0-85018366945
"Pham T., Yenradee P.","57192097442;6603467817;","Optimal supply chain network design with process network and BOM under uncertainties: A case study in toothbrush industry",2017,"Computers and Industrial Engineering",20,"10.1016/j.cie.2017.04.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018338809&doi=10.1016%2fj.cie.2017.04.012&partnerID=40&md5=66ca619979a365b99fb4a8ab90d4bc71","School of Manufacturing Systems and Mechanical Engineering, Sirindhorn International Institute of Technology, Thammasat University, Thailand","Pham, T., School of Manufacturing Systems and Mechanical Engineering, Sirindhorn International Institute of Technology, Thammasat University, Thailand; Yenradee, P., School of Manufacturing Systems and Mechanical Engineering, Sirindhorn International Institute of Technology, Thammasat University, Thailand","Design of supply chain network significantly affects supply chain performance for long period. Since each industry has a unique set of characteristics which evidently drive the design supply chain network, a number of various models have been formulated to meet the needs of such business contexts. Even though many models have been proposed for manufacturing industry context, most of them are based on the facility location model. It tends to lead the supply chain network design model to be complicated. Therefore, the purpose of this research is to propose an alternative approach to formulate manufacturing network design problem. Features, such as multi-echelon, multi-commodity, products structure, and manufacturing process, are taken into consideration as characteristics of the studied environment. Moreover, uncertainty factors are also integrated to the model by employing possibilistic theory. Eventually in addition to the methodology, a case study in a consumer product firm is used to demonstrate applicability of the proposed method. Two models, deterministic and fuzzy models, have been explored in the study and both of them have demonstrated the validity of the proposed formulation method. Moreover, it is shown that the fuzzy model has outperformed its deterministic counterpart in term of cost effectiveness. © 2017 Elsevier Ltd","Case study; Fuzzy programming; Mixed-integer linear programming (MILP); Network flow; Optimization; Strategic supply chain planning; Supply chain network design; Uncertainty","Consumer products; Cost effectiveness; Facilities; Industrial research; Integer programming; Location; Manufacture; Optimization; Fuzzy programming; Mixed-integer linear programming; Network flows; Strategic supply chain planning; Supply chain network design; Uncertainty; Supply chains",,"Yenradee, P.email: pisal@siit.tu.ac.th","Elsevier Ltd",03608352,,CINDD,Article,Scopus,2-s2.0-85018338809
"Stindt D.","54908104500;","A generic planning approach for sustainable supply chain management - How to integrate concepts and methods to address the issues of sustainability?",2017,"Journal of Cleaner Production",74,"10.1016/j.jclepro.2017.03.126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018274988&doi=10.1016%2fj.jclepro.2017.03.126&partnerID=40&md5=a5c3cfb0c81317949bd0ede96b1b3fa9","University of Augsburg, Chair of Production & Supply Chain Management, Universitaetsstrasse 16, Augsburg, 86159, Germany","Stindt, D., University of Augsburg, Chair of Production & Supply Chain Management, Universitaetsstrasse 16, Augsburg, 86159, Germany","Forced by competitive, legislative and customers' pressures, corporate executives are supposed to consider sustainability aspects of value creation which induces a new set of challenges within decision-making. Unfortunately, guidelines supporting comprehensive analysis, especially concerning the evaluation of environmental and social performance of decision alternatives, are missing. This hinders the advancements in corporate sustainability. Questions arise on how to measure and balance respective indicators with traditional economic objectives. To fill this void, this research sets out to develop an intuitive and holistic planning framework for advancing sustainability along supply chains. In a first step, we identify sustainability issues and indicators as well as decision-support methods by scrutinizing literature on sustainable supply chain management. Based on this, we develop a planning framework that supports executives in evaluating and deciding upon corporate sustainability initiatives. The framework comprises three consecutive phases of planning: ‘Problem definition’, ‘Assessment of alternatives’, and ‘Decision analysis’. For each phase we propose appropriate tools distinguishing concepts of sustainable supply chain management (e.g. Sustainable Logistics and Sustainable Manufacturing), methods for measuring the ecological and social efficiency of decision alternatives, and quantitative decision-support techniques able to balance trade-offs between the three dimensions of the triple bottom line. As a result, this article presents a framework for guiding corporate decision-processes. From the academic angle, the article contributes to the research field by providing a structured integration of concepts and methods utilizable in the pursuit of ecological and social improvements along the value chain. © 2017 Elsevier Ltd","Decision-making; Green supply chain management; Operations research; Sustainable development; Sustainable operations","Decision support systems; Ecology; Economic and social effects; Network function virtualization; Operations research; Planning; Research and development management; Supply chain management; Sustainable development; Comprehensive analysis; Corporate-sustainability; Green supply chain management; Structured integration; Sustainability issues; Sustainable manufacturing; Sustainable operations; Sustainable supply chains; Decision making",,,"Elsevier Ltd",09596526,,JCROE,Article,Scopus,2-s2.0-85018274988
"Parajuli A., Kuzgunkaya O., Vidyarthi N.","57193926836;16033135700;6506082011;","Responsive contingency planning of capacitated supply networks under disruption risks",2017,"Transportation Research Part E: Logistics and Transportation Review",13,"10.1016/j.tre.2017.03.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017528188&doi=10.1016%2fj.tre.2017.03.010&partnerID=40&md5=5e9eddbe6ad1e913a7338684e0ad82fa","Department of Mechanical and Industrial Engineering, Faculty of Engineering and Computer Science, Concordia University, Montreal, QC  H3G 1M8, Canada; Department of Supply Chain and Business Technology Management, John Molson School of Business, Concordia University, Montreal, QC  H3G 1M8, Canada","Parajuli, A., Department of Mechanical and Industrial Engineering, Faculty of Engineering and Computer Science, Concordia University, Montreal, QC  H3G 1M8, Canada; Kuzgunkaya, O., Department of Mechanical and Industrial Engineering, Faculty of Engineering and Computer Science, Concordia University, Montreal, QC  H3G 1M8, Canada; Vidyarthi, N., Department of Supply Chain and Business Technology Management, John Molson School of Business, Concordia University, Montreal, QC  H3G 1M8, Canada","This paper prescribes an appropriate risk mitigation model for a capacitated supply chain subject to premeditated attacks on facilities. It presents a unified approach to responsive contingency planning and optimizing protection of supply facilities utilizing a game-theoretic framework of attack and defense which involves multi level optimization. Gradual capacity backups is proposed for the first time in the context of protection under intentional attacks in a capacitated supply system. A recursive tree search algorithm is proposed to solve the tri-level optimization problem. Computational efficiency of the algorithm is demonstrated and managerial insights are presented. © 2017 Elsevier Ltd","Capacity backup; Contingency planning; Disruption; Fortification; Implicit enumeration; Interdiction; Response speed; Tri-level optimization","algorithm; modeling; optimization; planning method; risk assessment",,"Kuzgunkaya, O.; Department of Mechanical and Industrial Engineering, Canada; email: onurk@encs.concordia.ca","Elsevier Ltd",13665545,,,Article,Scopus,2-s2.0-85017528188
"Dhib S., Mannaerts C.M., Bargaoui Z., Retsios V., Maathuis B.H.P.","56919695800;6507119581;6506357490;54401681500;56426160100;","Evaluating the MSG satellite Multi-Sensor Precipitation Estimate for extreme rainfall monitoring over northern Tunisia",2017,"Weather and Climate Extremes",13,"10.1016/j.wace.2017.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017139014&doi=10.1016%2fj.wace.2017.03.002&partnerID=40&md5=aceaec422293ea35d882ebff08bde094","ENIT, LMHE, Campus Universitaire Farhat Hached El Manar, BP 37, Le Belvédère, 1002, United States; ITC: University of Twente, Faculty of Geo-Information Science and Earth Observation, Enschede, Netherlands","Dhib, S., ENIT, LMHE, Campus Universitaire Farhat Hached El Manar, BP 37, Le Belvédère, 1002, United States; Mannaerts, C.M., ITC: University of Twente, Faculty of Geo-Information Science and Earth Observation, Enschede, Netherlands; Bargaoui, Z., ENIT, LMHE, Campus Universitaire Farhat Hached El Manar, BP 37, Le Belvédère, 1002, United States; Retsios, V., ITC: University of Twente, Faculty of Geo-Information Science and Earth Observation, Enschede, Netherlands; Maathuis, B.H.P., ITC: University of Twente, Faculty of Geo-Information Science and Earth Observation, Enschede, Netherlands","Knowledge and evaluation of extreme precipitation is important for water resources and flood risk management, soil and land degradation, and other environmental issues. Due to the high potential threat to local infrastructure, such as buildings, roads and power supplies, heavy precipitation can have an important social and economic impact on society. At present, satellite derived precipitation estimates are becoming more readily available. This paper aims to investigate the potential use of the Meteosat Second Generation (MSG) Multi-Sensor Precipitation Estimate (MPE) for extreme rainfall assessment in Tunisia. The MSGMPE data combine microwave rain rate estimations with SEVIRI thermal infrared channel data, using an EUMETSAT production chain in near real time mode. The MPE data can therefore be used in a now-casting mode, and are potentially useful for extreme weather early warning and monitoring. Daily precipitation observed across an in situ gauge network in the north of Tunisia were used during the period 2007–2009 for validation of the MPE extreme event data. As a first test of the MSGMPE product's performance, very light to moderate rainfall classes, occurring between January and October 2007, were evaluated. Extreme rainfall events were then selected, using a threshold criterion for large rainfall depth (>50 mm/day) occurring at least at one ground station. Spatial interpolation methods were applied to generate rainfall maps for the drier summer season (from May to October) and the wet winter season (from November to April). Interpolated gauge rainfall maps were then compared to MSGMPE data available from the EUMETSAT UMARF archive or from the GEONETCast direct dissemination system. The summation of the MPE data at 5 and/or 15 min time intervals over a 24 h period, provided a basis for comparison. The MSGMPE product was not very effective in the detection of very light and light rain events. Better results were obtained for the slightly more moderate and moderate rain event classes in terms of percentage of detected events, correlation coefficient, and ratio bias. The results for extreme events were mixed, with high pixel correlations of R=0.75 achieved for some events, while for other events the correlation between satellite and ground observation was rather weak. MPE data for northern Tunisia seem more reliable during the summer season and for larger event scales. The MSGMPE data have demonstrated to be very informative for early warning purposes, but need to be combined with other near real time data or information to give reliable and quantitative estimates of extreme rainfall. © 2017 CERN for the benefit of the ALICE collaboration","Extremes; Meteosat; Rainfall; Tunisia; Validation","economic impact; environmental assessment; environmental monitoring; extreme event; interpolation; Meteosat; model validation; pixel; quantitative analysis; rainfall; real time; risk assessment; satellite; sensor; SEVIRI; threshold; Tunisia","UTM","Dhib, S.; ENIT, BP 37 Le Belvédère 1002 TUNIS, Canada; email: dhib_saoussen@hotmail.fr","Elsevier B.V.",22120947,,,Article,Scopus,2-s2.0-85017139014
